Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
21.1200,200.3749,200.2949,3077.3611,0.0000,0.0000,156.2910
21.2400,200.3713,200.2868,3077.3611,0.0000,0.0000,156.2910
21.3600,200.3675,200.2781,3077.3611,0.0000,0.0000,156.2910
21.4800,200.3634,200.2687,3077.3611,8.4000,0.0000,156.4366
21.6000,200.3593,200.2593,3077.3611,0.0000,0.0000,156.4366
21.7200,200.3556,200.2509,3077.3611,8.4000,0.0000,156.5993
21.8400,200.3520,200.2424,3077.3611,0.0000,0.0000,156.5993
21.9600,200.3487,200.2350,3077.3611,0.0000,0.0000,156.5993
22.0800,200.3455,200.2276,3077.3611,8.4000,0.0000,156.7838
22.2000,200.3423,200.2201,3077.3611,0.0000,0.0000,156.7838
22.3200,200.3389,200.2120,3077.3611,0.0000,0.0000,156.7838
22.4400,200.3358,200.2049,3077.3611,8.4000,0.0000,156.9768
22.5600,200.3328,200.1978,3077.3611,16.8000,0.0000,157.3715
22.6800,200.3298,200.1906,3077.3611,0.0000,0.0000,157.3715
22.8000,200.3265,200.1828,3077.3611,0.0000,0.0000,157.3715
22.9200,200.3233,200.1750,3077.3611,0.0000,0.0000,157.3715
23.0400,200.3198,200.1666,3077.3611,0.0000,0.0000,157.3715
23.1600,200.3162,200.1581,3077.3611,0.0000,0.0000,157.3715
23.2800,200.3124,200.1489,3077.3611,8.4000,0.0000,157.5224
23.4000,200.3086,200.1398,3077.3611,0.0000,0.0000,157.5224
23.5200,200.3048,200.1306,3077.3611,8.4000,0.0000,157.6733
23.6400,200.3011,200.1215,3077.3611,16.8000,0.0000,157.9818
23.7600,200.2974,200.1123,3077.3611,0.0000,0.0000,157.9818
23.8800,200.2941,200.1041,3077.3611,0.0000,0.0000,157.9818
24.0000,200.2905,200.0953,3077.3611,0.0000,0.0000,157.9818
24.1200,200.2873,200.0874,3077.3611,0.0000,0.0000,157.9818
24.2400,200.2841,200.0796,3077.3611,8.4000,0.0000,158.1584
24.3600,200.2810,200.0718,3077.3611,0.0000,0.0000,158.1584
24.4800,200.2776,200.0632,3077.3611,0.0000,0.0000,158.1584
24.6000,200.2746,200.0557,3077.3611,0.0000,0.0000,158.1584
24.7200,200.2716,200.0482,3077.3611,0.0000,0.0000,158.1584
24.8400,200.2689,200.0417,3077.3611,0.0000,0.0000,158.1584
24.9600,200.2667,200.0362,3077.3611,0.0000,0.0000,158.1584
25.0800,200.2645,200.0306,3077.3611,0.0000,0.0000,158.1584
25.2000,200.2627,200.0261,3077.3611,0.0000,0.0000,158.1584
25.3200,200.2606,200.0210,3077.3611,0.0000,0.0000,158.1584
25.4400,200.2586,200.0158,3077.3611,8.4000,0.0000,158.4261
25.5600,200.2565,200.0106,3077.3611,16.8000,0.0000,158.9736
25.6800,200.2545,200.0054,3077.3611,0.0000,0.0000,158.9736
25.8000,200.2525,200.0002,3077.3611,8.4000,0.0000,159.2413
25.9200,200.2505,199.9950,3077.3611,16.8000,0.0000,20.2113
26.0400,200.2486,200.0002,3077.3611,25.2000,0.0000,21.0645
26.1600,200.2466,200.0054,3077.3611,0.0000,0.0000,21.0645
26.2800,200.2446,200.0106,3077.3611,0.0000,0.0000,21.0645
26.4000,200.2426,200.0158,3077.3611,0.0000,0.0000,21.0645
26.5200,200.2403,200.0217,3077.3611,8.4000,0.0000,21.3016
26.6400,200.2380,200.0276,3077.3611,0.0000,0.0000,21.3016
26.7600,200.2361,200.0324,3077.3611,8.4000,0.0000,21.5878
26.8800,200.2342,200.0373,3077.3611,16.8000,0.0000,22.1730
27.0000,200.2322,200.0421,3077.3611,0.0000,0.0000,22.1730
27.1200,200.2300,200.0476,3077.3611,0.0000,0.0000,22.1730
27.2400,200.2278,200.0531,3077.3611,0.0000,0.0000,22.1730
27.3600,200.2252,200.0593,3077.3611,0.0000,0.0000,22.1730
27.4800,200.2231,200.0644,3077.3611,0.0000,0.0000,22.1730
27.6000,200.2214,200.0686,3077.3611,0.0000,0.0000,22.1730
27.7200,200.2197,200.0728,3077.3611,0.0000,0.0000,22.1730
27.8400,200.2180,200.0770,3077.3611,0.0000,0.0000,22.1730
27.9600,200.2161,200.0818,3077.3611,0.0000,0.0000,22.1730
28.0800,200.2141,200.0866,3077.3611,8.4000,0.0000,22.4592
28.2000,200.2121,200.0914,3077.3611,0.0000,0.0000,22.4592
28.3200,200.2098,200.0969,3077.3611,8.4000,0.0000,22.7107
