# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
14.1315,211.7793,609.9889,1.5708,1.2217,-0.2903
14.9903,214.6537,609.9889,1.5708,1.2217,-0.3802
16.1035,217.4395,609.9889,1.5708,1.2217,-0.4700
17.6434,220.4708,609.9889,1.5708,1.2217,-0.5493
19.6273,223.7118,609.9889,1.5708,1.2217,-0.6202
21.8359,226.8041,609.9889,1.5708,1.2217,-0.6911
24.2580,229.7321,609.9889,1.5708,1.2217,-0.7621
27.1578,232.7704,609.9889,1.5708,1.2217,-0.8262
30.5406,235.8876,609.9889,1.5708,1.2217,-0.8848
34.4096,239.0546,609.9889,1.5708,1.2217,-0.9387
38.7664,242.2450,609.9889,1.5708,1.2217,-0.9887
43.6111,245.4339,609.9889,1.5708,1.2217,-1.0351
48.0827,248.0881,609.9889,1.5708,1.2217,-1.0870
52.6858,250.5070,609.9889,1.5708,1.2217,-1.1388
57.4081,252.6843,609.9889,1.5708,1.2217,-1.1906
62.6083,254.7623,609.9889,1.5708,1.2217,-1.2388
67.9024,256.5878,609.9889,1.5708,1.2217,-1.2869
73.2782,258.1565,609.9889,1.5708,1.2217,-1.3350
78.7232,259.4647,609.9889,1.5708,1.2217,-1.3831
84.6179,260.5840,609.9889,1.5708,1.2217,-1.4281
89.9630,261.3522,609.9889,1.5708,1.2217,-1.4780
95.3397,261.8527,609.9889,1.5708,1.2217,-1.5279
100.7348,262.0843,609.9889,1.5708,1.2217,-1.5778
106.1346,262.0465,609.9889,1.5708,1.2217,-1.6277
111.5259,261.7393,609.9889,1.5708,1.2217,-1.6776
117.2928,261.1209,609.9889,1.5708,1.2217,-1.7241
123.0248,260.2353,609.9889,1.5708,1.2217,-1.7706
128.1214,259.2034,609.9889,1.5708,1.2217,-1.8224
132.5766,258.0582,609.9889,1.5708,1.2217,-1.8810
136.9570,256.6541,609.9889,1.5708,1.2217,-1.9396
141.2477,254.9958,609.9889,1.5708,1.2217,-1.9982
145.4340,253.0892,609.9889,1.5708,1.2217,-2.0568
149.5014,250.9407,609.9889,1.5708,1.2217,-2.1154
153.7782,248.3505,609.9889,1.5708,1.2217,-2.1693
157.9092,245.5336,609.9889,1.5708,1.2217,-2.2232
162.2002,242.2554,609.9889,1.5708,1.2217,-2.2731
166.3224,238.7671,609.9889,1.5708,1.2217,-2.3230
170.5575,234.8043,609.9889,1.5708,1.2217,-2.3695
174.6039,230.6490,609.9889,1.5708,1.2217,-2.4159
178.4530,226.3102,609.9889,1.5708,1.2217,-2.4624
182.0963,221.7973,609.9889,1.5708,1.2217,-2.5089
185.1712,217.6039,609.9889,1.5708,1.2217,-2.5607
188.0248,213.2568,609.9889,1.5708,1.2217,-2.6125
190.8512,208.4224,609.9889,1.5708,1.2217,-2.6607
193.4417,203.4576,609.9889,1.5708,1.2217,-2.7088
195.5387,198.9186,609.9889,1.5708,1.2217,-2.7627
197.3882,194.2732,609.9889,1.5708,1.2217,-2.8166
198.9846,189.5350,609.9889,1.5708,1.2217,-2.8705
200.1628,185.2956,609.9889,1.5708,1.2217,-2.9318
201.0792,180.9921,609.9889,1.5708,1.2217,-2.9930
201.7305,176.6406,609.9889,1.5708,1.2217,-3.0543
202.0618,172.8551,609.9889,1.5708,1.2217,-3.1252
202.1240,169.0556,609.9889,1.5708,1.2217,-3.1961
201.9168,165.2612,609.9889,1.5708,1.2217,-3.2671
201.4413,161.4911,609.9889,1.5708,1.2217,-3.3380
200.8168,158.3526,609.9889,1.5708,1.2217,-3.4222
199.9305,155.2778,609.9889,1.5708,1.2217,-3.5065
198.6460,151.9148,609.9889,1.5708,1.2217,-3.5813
196.9432,148.2953,609.9889,1.5708,1.2217,-3.6487
194.8063,144.4491,609.9889,1.5708,1.2217,-3.7100
192.7609,141.2465,609.9889,1.5708,1.2217,-3.7809
190.2550,137.8759,609.9889,1.5708,1.2217,-3.8451
187.2794,134.3680,609.9889,1.5708,1.2217,-3.9037
184.1035,131.0403,609.9889,1.5708,1.2217,-3.9623
181.1771,128.3133,609.9889,1.5708,1.2217,-4.0296
178.0738,125.7896,609.9889,1.5708,1.2217,-4.0970
174.4809,123.2496,609.9889,1.5708,1.2217,-4.1583
170.7393,120.9344,609.9889,1.5708,1.2217,-4.2195
166.5106,118.6633,609.9889,1.5708,1.2217,-4.2757
161.7987,116.4639,609.9889,1.5708,1.2217,-4.3275
156.9791,114.5115,609.9889,1.5708,1.2217,-4.3793
152.6318,113.0077,609.9889,1.5708,1.2217,-4.4379
148.2040,111.7610,609.9889,1.5708,1.2217,-4.4965
143.7108,110.7757,609.9889,1.5708,1.2217,-4.5551
139.7601,110.1492,609.9889,1.5708,1.2217,-4.6225
136.3738,109.8440,609.9889,1.5708,1.2217,-4.7018
132.9740,109.8080,609.9889,1.5708,1.2217,-4.7810
129.1830,110.0687,609.9889,1.5708,1.2217,-4.8520
126.0141,110.5139,609.9889,1.5708,1.2217,-4.9362
123.0889,111.1797,609.9889,1.5708,1.2217,-5.0260
120.2353,112.1054,609.9889,1.5708,1.2217,-5.1159
117.4762,113.2833,609.9889,1.5708,1.2217,-5.2057
114.4817,114.8934,609.9889,1.5708,1.2217,-5.2850
111.6240,116.7357,609.9889,1.5708,1.2217,-5.3643
108.6032,119.0411,609.9889,1.5708,1.2217,-5.4352
105.7535,121.5548,609.9889,1.5708,1.2217,-5.5061
103.5097,123.8363,609.9889,1.5708,1.2217,-5.5904
101.4658,126.2986,609.9889,1.5708,1.2217,-5.6746
99.7506,128.7599,609.9889,1.5708,1.2217,-5.7644
98.0649,131.7126,609.9889,1.5708,1.2217,-5.8437
96.4481,135.1515,609.9889,1.5708,1.2217,-5.9146
95.0791,138.6963,609.9889,1.5708,1.2217,-5.9856
