# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
309.0863,610.1086,759.5365,1.5708,0.0000,-5.7204
306.4184,614.3374,759.5365,1.5708,0.0000,-5.7204
303.7506,618.5661,759.5365,1.5708,0.0000,-5.7204
301.0827,622.7949,759.5365,1.5708,0.0000,-5.7204
298.4148,627.0237,759.5365,1.5708,0.0000,-5.7204
295.7469,631.2524,759.5365,1.5708,0.0000,-5.7204
293.0791,635.4812,759.5365,1.5708,0.0000,-5.7204
290.4112,639.7100,759.5365,1.5708,0.0000,-5.7204
287.7433,643.9387,759.5365,1.5708,0.0000,-5.7204
285.0755,648.1675,759.5365,1.5708,0.0000,-5.7204
282.4076,652.3963,759.5365,1.5708,0.0000,-5.7204
279.7397,656.6250,759.5365,1.5708,0.0000,-5.7204
277.0719,660.8538,759.5365,1.5708,0.0000,-5.7204
274.4040,665.0826,759.5365,1.5708,0.0000,-5.7204
271.7361,669.3113,759.5365,1.5708,0.0000,-5.7204
269.0682,673.5401,759.5365,1.5708,0.0000,-5.7204
266.4004,677.7689,759.5365,1.5708,0.0000,-5.7204
263.7325,681.9976,759.5365,1.5708,0.0000,-5.7204
261.0646,686.2264,759.5365,1.5708,0.0000,-5.7204
258.3968,690.4552,759.5365,1.5708,0.0000,-5.7204
255.7289,694.6839,759.5365,1.5708,0.0000,-5.7204
253.0610,698.9127,759.5365,1.5708,0.0000,-5.7204
250.3932,703.1415,759.5365,1.5708,0.0000,-5.7204
247.7253,707.3702,759.5365,1.5708,0.0000,-5.7204
245.0574,711.5990,759.5365,1.5708,0.0000,-5.7204
242.3895,715.8278,759.5365,1.5708,0.0000,-5.7204
239.7217,720.0565,759.5365,1.5708,0.0000,-5.7204
237.0538,724.2853,759.5365,1.5708,0.0000,-5.7204
234.3859,728.5141,759.5365,1.5708,0.0000,-5.7204
231.7181,732.7428,759.5365,1.5708,0.0000,-5.7204
229.0502,736.9716,759.5365,1.5708,0.0000,-5.7204
226.3823,741.2004,759.5365,1.5708,0.0000,-5.7204
223.7145,745.4291,759.5365,1.5708,0.0000,-5.7204
221.0466,749.6579,759.5365,1.5708,0.0000,-5.7204
218.3787,753.8867,759.5365,1.5708,0.0000,-5.7204
215.7108,758.1154,759.5365,1.5708,0.0000,-5.7204
213.0430,762.3442,759.5365,1.5708,0.0000,-5.7204
210.3751,766.5730,759.5365,1.5708,0.0000,-5.7204
207.7072,770.8017,759.5365,1.5708,0.0000,-5.7204
205.0394,775.0305,759.5365,1.5708,0.0000,-5.7204
202.3715,779.2593,759.5365,1.5708,0.0000,-5.7204
199.7036,783.4881,759.5365,1.5708,0.0000,-5.7204
197.0358,787.7168,759.5365,1.5708,0.0000,-5.7204
194.3679,791.9456,759.5365,1.5708,0.0000,-5.7204
191.7000,796.1744,759.5365,1.5708,0.0000,-5.7204
189.0321,800.4031,759.5365,1.5708,0.0000,2.5788
186.3643,796.1744,759.5365,1.5708,0.0000,-3.7044
183.6964,791.9456,759.5365,1.5708,0.0000,-3.7044
